Date,Time,Venue,Capacity,Total Invigilators,Lead Invigilator,Special_Requirement,Special Skill Invigilators,Normal Invigilators,Backup Invigilators
2024-06-04,PM,Irene Manton South Cluster (7.90),1,1,Tammy Thompson,no,[],[],['April Rodriguez']
2024-06-04,PM,Michael Sadler SR (1.37),1,1,Melissa White,yes,[],[],['Norman Bowman']
2024-06-04,PM,Michael Sadler SR (B.49),4,1,Anthony Palmer,yes,[],[],['Lisa Lowery']
2024-06-04,PM,Michael Sadler SR (LG.10),26,1,Jennifer Shaw,no,[],[],['James Massey']
2024-06-04,PM,Michael Sadler SR (LG.15),19,1,Jade Porter,no,[],[],['Mark Thompson']
2024-06-04,PM,Michael Sadler World Cinema Rm (B.36),7,2,Kara Warren,yes,['Justin Mcpherson'],[],['Bryce Campbell']
2024-06-04,PM,Psychology Cluster (1.43),7,1,Jennifer Adams,no,[],[],['Amy George']
2024-06-04,PM,Psychology Cluster (1.45),28,1,Michael Jackson,no,[],[],['Ricardo Beard']
2024-06-04,PM,Social Sciences SR (10.05),8,2,Christopher Thompson,yes,['Fred Wright'],[],['Linda Page']
2024-06-04,PM,Social Sciences SR (10.06),9,3,Pamela Smith,yes,"['Tracey Orozco', 'Laurie Finley']",[],['Tamara Reynolds']
2024-06-04,PM,Social Sciences SR (10.10),7,2,Melissa Jacobs,yes,['Matthew Smith'],[],['Shawn Garcia']
2024-06-04,PM,Textiles Computer Cluster (G.34),6,2,James Castro,yes,['Kelly Brown'],[],['Benjamin Mitchell']
2024-06-04,PM,The Edge (Sports Hall 1),527,17,Richard Ellison MD,no,[],"['Melissa Macias', 'Lisa Young', 'William Riley DDS', 'Wesley Pittman', 'Amy Stephens', 'Elizabeth Riley', 'Margaret Hicks', 'Mary Duffy', 'Richard Elliott', 'Adam Allen', 'Jennifer Navarro', 'Brandon Morales', 'Billy Richards DDS', 'Lonnie Camacho', 'Jeffrey Fowler', 'James Cruz']","['Justin Page', 'Joel Holmes', 'Wyatt Harris']"
2024-06-04,PM,West Teaching Lab Lower Cluster (B.16),1,1,Nicholas Hernandez,yes,[],[],['Jason Robbins']
2024-06-05,AM,Chemistry West Block SR (1.65),7,2,Cheryl Flores,yes,['Steven Collins MD'],[],['Janice Barnes']
2024-06-05,AM,Cohen Computer Cluster A&B (1.40),89,2,Paula Johnson,no,[],['Kayla Moore'],"['Ralph Hood', 'Jordan Marsh', 'Nicole Glover']"
2024-06-05,AM,EC Stoner Cluster (6.61),22,1,Arthur Tucker,no,[],[],['Tracy Jones']
2024-06-05,AM,English SR 1 (LG.04) House 10 Cavendish Road,6,2,Jason Bridges,yes,['Dr. Robert Payne'],[],['Mr. Cody Calhoun']
2024-06-05,AM,English SR 7 (LG.05) House 5 Cavendish Road,4,1,Nancy Torres,yes,[],[],['Jason Ballard']
2024-06-05,AM,Fourman O and P Cluster (8.49),72,2,Jon Hanson,no,[],['Dennis Cline'],"['Benjamin Booker', 'Kenneth Hicks', 'Michael Rody']"
2024-06-05,AM,Great Hall,160,5,Ashley Butler,no,[],"['Melissa Johnson', 'Andrew Bradford', 'Amy George', 'Benjamin Rojas III']","['Nancy Torres', 'Adam Patterson', 'Donald Howard']"
2024-06-05,AM,Irene Manton North Cluster (7.96),8,1,Shane Cook,no,[],[],['Timothy Santos']
2024-06-05,AM,Irene Manton South Cluster (7.90),10,1,Mr. Cameron Knight,no,[],[],['Dustin Carter']
2024-06-05,AM,Michael Sadler SR (1.19),1,1,Andrew English,yes,[],[],['Mercedes Powell']
2024-06-05,AM,Michael Sadler SR (1.37),1,1,Christopher Sherman,yes,[],[],['Frank Rosario']
2024-06-05,AM,Michael Sadler SR (LG.15),28,1,Nicole Charles,no,[],[],['Carmen Sanford']
2024-06-05,AM,Michael Sadler World Cinema Rm (B.36),8,2,Dr. Lisa Walsh,yes,['Aimee Bailey'],[],['Felicia Rose']
2024-06-05,AM,Psychology Cluster (1.43),6,1,Ana Owens,no,[],[],['Jordan Moses']
2024-06-05,AM,Psychology Cluster (1.45),13,1,Garrett Arnold,no,[],[],['Jennifer Moreno']
2024-06-05,AM,Room UG09 (Great Hall Building),85,2,Stacy Wells,no,[],['Judy Tran'],"['Kayla Moore', 'William Reed', 'Amanda Lindsey']"
2024-06-05,AM,Social Sciences SR (10.05),7,2,Susan Mercado,yes,['Susan Matthews'],[],['Sara Boone']
2024-06-05,AM,Social Sciences SR (10.06),7,2,James Wells,yes,['Robert Espinoza'],[],['Eric Hall']
2024-06-05,AM,Social Sciences SR (10.07),10,3,Bryan Silva,yes,"['Paul Miller', 'Alexandra Pittman']",[],['Cassidy Stanley']
2024-06-05,AM,Social Sciences SR (10.10),9,3,Tonya Walsh,yes,"['Joshua Herrera', 'Lisa Morgan']",[],['Johnny Harrison']
2024-06-05,AM,Social Sciences SR (12.38),11,3,Katherine Robinson,yes,"['Joanne Pineda', 'Cheryl Martin']",[],['Michael Mills']
2024-06-05,AM,Textiles Computer Cluster (G.34),4,1,Cody Hopkins,yes,[],[],['Tyler Kim']
2024-06-05,AM,The Edge (Sports Hall 1),510,17,Angel Potter,no,[],"['John Owens', 'Douglas Cardenas', 'Amanda Lindsey', 'Jerry Whitehead', 'Gina Watkins', 'Shane Hanna', 'Amanda Thompson MD', 'Christina Franco', 'Jacob Holmes', 'Raymond Jensen', 'Sean Frank', 'Bobby Miller DVM', 'Karen Taylor', 'Matthew Jones', 'Robert Banks', 'Daniel Nicholson']","['Dana Wilkinson', 'John Daniels', 'Terri Young']"
2024-06-05,AM,The Edge (Sports Hall 2),223,7,Amy Sherman,no,[],"['Melissa Russell', 'Janet Joseph', 'Sandra Perez', 'Laura Ramirez', 'Wendy Carter', 'Michael Fox']","['Rita Bates', 'Steven Collins MD', 'Bruce Ramos']"
2024-06-05,PM,Emmanuel Centre SR 01,1,1,Evelyn May,yes,[],[],['Hayden Aguilar']
2024-06-05,PM,Irene Manton North Cluster (7.96),1,1,Paul Villa,no,[],[],['Jacob Holmes']
2024-06-05,PM,EC Stoner SR (7.79),16,5,Jack Meadows,yes,"['Keith Wall', 'Joanna Cross', 'Terri Roberson', 'Candace Gray DDS']",[],['Sally Beck']
2024-06-05,PM,Emmanuel Centre SR 01,1,1,Elizabeth Wells,yes,[],[],['Barbara Dunn']
2024-06-05,PM,Emmanuel Centre SR 02,1,1,William Mcclure,yes,[],[],['Gina Rollins']
2024-06-05,PM,Emmanuel Centre SR 03,1,1,Jocelyn Sims DDS,yes,[],[],['Michael Walter']
2024-06-05,PM,English SR 1 (LG.04) House 10 Cavendish Road,6,2,Anne Mathews,yes,['Jason Robbins'],[],['Madison Gomez']
2024-06-05,PM,English SR 3 (LG.01) House 10 Cavendish Road,5,1,Taylor Cortez,yes,[],[],['Michael Vargas']
2024-06-05,PM,Michael Sadler SR (B.37),5,1,David Zuniga,yes,[],[],['Dustin Barry']
2024-06-05,PM,Michael Sadler SR (B.49),3,1,Kristen Bowen,yes,[],[],['Natalie Davis']
2024-06-05,PM,Psychology Cluster (1.43),7,1,Jody Baker,no,[],[],['Nancy Perez']
2024-06-05,PM,Room UG09 (Great Hall Building),75,2,Cody Reeves,no,[],['Stephanie Washington'],"['Joshua Nguyen', 'Melissa Dickerson', 'Mr. Daniel Taylor MD']"
2024-06-05,PM,Textiles Computer Cluster (G.34),2,1,Ian Roberts,yes,[],[],['Amy Malone']
2024-06-05,PM,The Edge (Sports Hall 1),376,12,Caitlin Phillips,no,[],"['David Thomas', 'Lori Wells', 'Matthew Shah', 'Jake Williamson', 'Crystal Rodriguez', 'Mia Mccarthy', 'Kristen Cardenas', 'Scott Mccann', 'Mr. Daniel Taylor MD', 'Michael Mckinney', 'David Black']","['Devin Gonzalez', 'Theresa Mitchell', 'Robert Martin']"
2024-06-06,AM,Chemistry West Block SR (G.75),6,2,Matthew Fleming,yes,['Teresa Fernandez'],[],['Chad Graves']
2024-06-06,AM,EC Stoner SR (7.79),24,8,Stephen Nunez,yes,"['Luis Logan', 'Jennifer Harris', 'Wendy Jones', 'Shelby Walker', 'Mrs. Brianna Hunter', 'Jeremy Harris Jr.', 'Gail Torres']",[],['Matthew Fleming']
2024-06-06,AM,Emmanuel Centre SR 04,1,1,Dwayne Pearson,yes,[],[],['Jennifer Harris']
2024-06-06,AM,English SR 2 (LG.06) House 10 Cavendish Road,3,1,Nicole Ward,yes,[],[],['Jamie Nguyen']
2024-06-06,AM,Great Hall,155,5,Troy Reed,no,[],"['Daisy Patton', 'Rachel Lane', 'Jacqueline Fields', 'Bridget Taylor']","['Brady Clark', 'Mr. Bill Hoffman MD', 'Amanda Roberts']"
2024-06-06,AM,Michael Sadler SR (1.19),1,1,Mrs. Lisa Everett,yes,[],[],['Katie Olson']
2024-06-06,AM,Michael Sadler SR (1.37),1,1,Morgan Reese,yes,[],[],['Johnny Black']
2024-06-06,AM,Michael Sadler SR (LG.10),74,2,Leslie Fox,no,[],['Martin Willis'],"['Donna Taylor', 'Angela Miller', 'Mary Hensley']"
2024-06-06,AM,Michael Sadler World Cinema Rm (B.36),6,2,Nicholas Marsh,yes,['James Young'],[],['David Williams']
2024-06-06,AM,Newlyn SR (1.01),69,2,Tiffany Jones,no,[],['Kimberly Campbell'],"['Jason Thompson', 'Alyssa Lowe', 'Wanda Lewis']"
2024-06-06,AM,Newlyn SR (1.07),54,1,Kimberly Vargas,no,[],[],"['Adam Johnston', 'Timothy George', 'Bridget Taylor']"
2024-06-06,AM,Newlyn SR (GR.01),69,2,Richard Knight,no,[],['Gina Cochran'],"['Cindy Lopez', 'Dustin Kramer', 'Helen Conner']"
2024-06-06,AM,Newlyn SR (GR.07),69,2,Kari Thornton,no,[],['Mr. Billy Cardenas'],"['Candace Gray DDS', 'Daniel Griffith', 'Kelly Walker']"
2024-06-06,AM,Parkinson SR (B.08),18,1,Nicole Glover,no,[],[],['Barbara Cunningham']
2024-06-06,AM,Parkinson SR (B.09),14,1,April Barrera,no,[],[],['Aaron Moreno']
2024-06-06,AM,Psychology Cluster (1.43),5,1,Amy Sims,no,[],[],['Ashley Butler']
2024-06-06,AM,Psychology Cluster (1.45),9,1,Brandon Castro,no,[],[],['Alexis Flores']
2024-06-06,AM,Room UG09 (Great Hall Building),94,3,Kristina Hill,no,[],"['Brian Huang', 'Edward Gregory']","['Devin Thomas', 'Krystal Miller', 'Todd Cardenas']"
2024-06-06,AM,Social Sciences SR (10.05),5,1,Andrew Cohen,yes,[],[],['Michelle Delgado']
2024-06-06,AM,Social Sciences SR (10.10),7,2,George Hughes,yes,['Ricky Salazar'],[],['Nicholas Fisher']
2024-06-06,PM,Emmanuel Centre SR 01,1,1,Sandra Cruz,yes,[],[],['David Adams']
2024-06-07,AM,Chemical and Process Engineering Cluster (GR.06),75,2,Travis Sullivan,no,[],['Angela Rangel'],"['Richard Pittman', 'Joshua Cooke', 'Joseph Perry']"
2024-06-07,AM,Cohen Computer Cluster A&B (1.40),93,3,Paul Ray DDS,no,[],"['Paula Wilson', 'Melanie White']","['Amanda Navarro', 'Sarah Bartlett', 'Aimee Tucker']"
2024-06-07,AM,EC Stoner Cluster (6.61),21,1,Elizabeth Glass,no,[],[],['Ryan Barnett']
2024-06-07,AM,EC Stoner Cluster (6.68),1,1,Tony Lopez,no,[],[],['Kevin Franklin']
2024-06-07,AM,Emmanuel Centre SR 02,1,1,Michael Morris,yes,[],[],['Melanie White']
2024-06-07,AM,Fourman O and P Cluster (8.49),77,2,Chris Bond,no,[],['Mary White'],"['Amy Sherman', 'Michael Dougherty', 'Patricia Buck MD']"
2024-06-07,AM,Great Hall,156,5,Wyatt Harris,no,[],"['Gina Lee', 'Linda Harmon', 'Linda Moreno', 'Alicia Brown']","['Julie Byrd', 'Amanda Hammond', 'Emma Carter']"
2024-06-07,AM,Irene Manton North Cluster (7.96),4,1,Gabrielle Evans,no,[],[],['Danielle Green']
2024-06-07,AM,Parkinson SR (B.08),15,1,Shannon Randolph,no,[],[],['Miranda Tyrell']
2024-06-07,AM,Psychology Cluster (1.43),7,1,Nicholas Hudson,no,[],[],['Sergio Oliver']
2024-06-07,AM,Psychology Cluster (1.45),17,1,Mrs. Laura Obrien,no,[],[],['Karen Nelson']
2024-06-07,AM,Social Sciences SR (10.05),5,1,Mary Sweeney,yes,[],[],['Yvonne Wiggins MD']
2024-06-07,AM,Social Sciences SR (10.06),9,3,Daniel Montoya,yes,"['Nicholas Fisher', 'Daniel Sherman']",[],['Billy Martin']
2024-06-07,AM,Textiles Computer Cluster (G.34),5,1,Evelyn Johnson,yes,[],[],['Richard Freeman']
2024-06-07,PM,Psychology Cluster (1.45),3,1,Jessica Ward,no,[],[],['Ronald Ortega']
2024-06-07,PM,Chemical and Process Engineering Cluster (GR.06),75,2,John Daniels,no,[],['Lauren Banks'],"['Jennifer Sheppard', 'Antonio Poole', 'Edward Andrade']"
2024-06-07,PM,Cohen Computer Cluster A&B (1.40),93,3,Melanie Jackson,no,[],"['Erin Diaz', 'Melinda Santana']","['Patricia Kelly', 'Joann King', 'Susan Hernandez']"
2024-06-07,PM,Fourman O and P Cluster (8.49),77,2,Mrs. Amanda Flores,no,[],['Elizabeth Fox'],"['Jennifer Thompson DVM', 'Casey Bailey', 'Alan Williams']"
2024-06-07,PM,Psychology Cluster (1.43),21,1,Kelsey Brown,no,[],[],['Elizabeth Jones']
2024-06-07,PM,Psychology Cluster (1.45),1,1,Christopher Neal,no,[],[],['Christopher Henderson']
2024-06-07,PM,Textiles Computer Cluster (G.34),7,2,Jane Hood,yes,['Justin Jennings'],[],['Michael Moore']
